epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.8104,1.57266,6.27267,1.10814,0,0,0,0,1.4121,5.1945,1.00256,0.000114863,3.82876e-05,0.000114863,3.82876e-05,0.000114863,3.82876e-05,0.000114863,3.82876e-05
2,93.9671,1.30032,6.06517,1.00228,0,0,0,0,1.22603,4.99715,0.9392,0.000225149,7.50496e-05,0.000225149,7.50496e-05,0.000225149,7.50496e-05,0.000225149,7.50496e-05
3,135.203,1.20916,5.86443,0.96178,0.01496,0.12973,0.01607,0.01098,1.14796,4.70432,0.91708,0.000329693,0.000109898,0.000329693,0.000109898,0.000329693,0.000109898,0.000329693,0.000109898
4,178.43,1.19409,5.64148,0.95876,0.01627,0.58334,0.05216,0.03786,1.12243,4.31295,0.93001,0.000322161,0.000107387,0.000322161,0.000107387,0.000322161,0.000107387,0.000322161,0.000107387
5,220.342,1.1877,5.45942,0.96609,0.80555,0.05985,0.08358,0.06112,1.12047,4.04618,0.93193,0.000313548,0.000104516,0.000313548,0.000104516,0.000313548,0.000104516,0.000313548,0.000104516
6,262.737,1.15156,5.20496,0.96479,0.60307,0.11405,0.11161,0.08489,1.11,3.73649,0.92854,0.000304935,0.000101645,0.000304935,0.000101645,0.000304935,0.000101645,0.000304935,0.000101645
7,304,1.1839,5.03783,0.98028,0.61546,0.13634,0.15066,0.11231,1.10094,3.46324,0.93383,0.000296322,9.8774e-05,0.000296322,9.8774e-05,0.000296322,9.8774e-05,0.000296322,9.8774e-05
8,346.836,1.17202,4.84713,0.98045,0.70246,0.12789,0.1729,0.12785,1.08961,3.20319,0.92616,0.000287709,9.5903e-05,0.000287709,9.5903e-05,0.000287709,9.5903e-05,0.000287709,9.5903e-05
9,388.998,1.16782,4.78048,0.97347,0.39261,0.19882,0.19196,0.14604,1.07277,3.00041,0.91875,0.000279096,9.3032e-05,0.000279096,9.3032e-05,0.000279096,9.3032e-05,0.000279096,9.3032e-05
10,431.376,1.12262,4.57094,0.96023,0.24471,0.28233,0.21404,0.16604,1.07319,2.83773,0.91963,0.000270483,9.0161e-05,0.000270483,9.0161e-05,0.000270483,9.0161e-05,0.000270483,9.0161e-05
11,473.054,1.12525,4.43745,0.96694,0.23022,0.30543,0.23668,0.18194,1.05473,2.71189,0.91971,0.00026187,8.729e-05,0.00026187,8.729e-05,0.00026187,8.729e-05,0.00026187,8.729e-05
12,516.177,1.14666,4.42928,0.97168,0.35164,0.25895,0.25309,0.19719,1.05695,2.61102,0.91614,0.000253257,8.4419e-05,0.000253257,8.4419e-05,0.000253257,8.4419e-05,0.000253257,8.4419e-05
13,558.095,1.13076,4.26154,0.96443,0.2083,0.36082,0.27813,0.21585,1.03969,2.51317,0.91156,0.000244644,8.1548e-05,0.000244644,8.1548e-05,0.000244644,8.1548e-05,0.000244644,8.1548e-05
14,600.407,1.12029,4.19722,0.9649,0.31228,0.31686,0.3036,0.23174,1.04331,2.42432,0.91185,0.000236031,7.8677e-05,0.000236031,7.8677e-05,0.000236031,7.8677e-05,0.000236031,7.8677e-05
15,642.158,1.09802,4.10602,0.95475,0.19742,0.43188,0.33219,0.25825,1.03446,2.34201,0.90976,0.000227418,7.5806e-05,0.000227418,7.5806e-05,0.000227418,7.5806e-05,0.000227418,7.5806e-05
16,685.01,1.09689,4.03844,0.95654,0.20556,0.41591,0.3446,0.26939,1.03192,2.29149,0.90875,0.000218805,7.2935e-05,0.000218805,7.2935e-05,0.000218805,7.2935e-05,0.000218805,7.2935e-05
17,726.405,1.09934,3.99237,0.97023,0.23372,0.40343,0.36767,0.2857,1.03163,2.24587,0.90698,0.000210192,7.0064e-05,0.000210192,7.0064e-05,0.000210192,7.0064e-05,0.000210192,7.0064e-05
18,768.545,1.09848,3.94594,0.95367,0.24033,0.4124,0.37685,0.29463,1.02462,2.19157,0.90771,0.000201579,6.7193e-05,0.000201579,6.7193e-05,0.000201579,6.7193e-05,0.000201579,6.7193e-05
19,809.798,1.07129,3.912,0.95146,0.21996,0.45446,0.39427,0.30789,1.02924,2.16973,0.90811,0.000192966,6.4322e-05,0.000192966,6.4322e-05,0.000192966,6.4322e-05,0.000192966,6.4322e-05
20,852.543,1.0916,3.88738,0.95985,0.2723,0.46826,0.41281,0.31699,1.02583,2.11644,0.90703,0.000184353,6.1451e-05,0.000184353,6.1451e-05,0.000184353,6.1451e-05,0.000184353,6.1451e-05
21,894.362,1.08559,3.78461,0.96364,0.24671,0.48041,0.43296,0.3336,1.02487,2.07461,0.90618,0.00017574,5.858e-05,0.00017574,5.858e-05,0.00017574,5.858e-05,0.00017574,5.858e-05
22,936.406,1.06923,3.76481,0.94757,0.27579,0.44261,0.44482,0.34036,1.0185,2.05954,0.90449,0.000167127,5.5709e-05,0.000167127,5.5709e-05,0.000167127,5.5709e-05,0.000167127,5.5709e-05
23,978.776,1.08753,3.72365,0.95459,0.28282,0.4483,0.45161,0.34521,1.02023,2.03233,0.90581,0.000158514,5.2838e-05,0.000158514,5.2838e-05,0.000158514,5.2838e-05,0.000158514,5.2838e-05
24,1020.82,1.07757,3.67698,0.95522,0.33287,0.46091,0.4573,0.34537,1.02285,2.01671,0.90435,0.000149901,4.9967e-05,0.000149901,4.9967e-05,0.000149901,4.9967e-05,0.000149901,4.9967e-05
25,1062.46,1.06926,3.7039,0.94492,0.31663,0.44374,0.47407,0.35731,1.01474,1.98303,0.90267,0.000141288,4.7096e-05,0.000141288,4.7096e-05,0.000141288,4.7096e-05,0.000141288,4.7096e-05
26,1104.35,1.06509,3.6754,0.95195,0.31596,0.45922,0.47607,0.36312,1.0162,1.96048,0.90219,0.000132675,4.4225e-05,0.000132675,4.4225e-05,0.000132675,4.4225e-05,0.000132675,4.4225e-05
27,1146.89,1.04843,3.60793,0.94237,0.35366,0.45955,0.47799,0.36712,1.01019,1.93877,0.90211,0.000124062,4.1354e-05,0.000124062,4.1354e-05,0.000124062,4.1354e-05,0.000124062,4.1354e-05
28,1189.04,1.07279,3.54929,0.95538,0.28817,0.49633,0.49061,0.37299,1.01127,1.92145,0.90063,0.000115449,3.8483e-05,0.000115449,3.8483e-05,0.000115449,3.8483e-05,0.000115449,3.8483e-05
29,1230.63,1.06344,3.57407,0.94722,0.2935,0.50055,0.49296,0.37146,1.00864,1.91357,0.90175,0.000106836,3.5612e-05,0.000106836,3.5612e-05,0.000106836,3.5612e-05,0.000106836,3.5612e-05
30,1272.55,1.05201,3.52816,0.94611,0.29799,0.49121,0.49279,0.37151,1.00456,1.90765,0.90142,9.8223e-05,3.2741e-05,9.8223e-05,3.2741e-05,9.8223e-05,3.2741e-05,9.8223e-05,3.2741e-05
31,1316.9,1.03074,4.35938,0.95257,0.38121,0.45195,0.43113,0.32933,1.02411,1.99415,0.90462,8.961e-05,2.987e-05,8.961e-05,2.987e-05,8.961e-05,2.987e-05,8.961e-05,2.987e-05
32,1357.19,1.01412,4.25986,0.95895,0.3518,0.47649,0.45701,0.3457,1.01995,1.95892,0.90008,8.0997e-05,2.6999e-05,8.0997e-05,2.6999e-05,8.0997e-05,2.6999e-05,8.0997e-05,2.6999e-05
33,1396.85,1.00101,4.28533,0.94373,0.36005,0.46407,0.47708,0.36063,1.02587,1.94874,0.90127,7.2384e-05,2.4128e-05,7.2384e-05,2.4128e-05,7.2384e-05,2.4128e-05,7.2384e-05,2.4128e-05
34,1438.21,1.00232,4.26524,0.94561,0.29402,0.496,0.4807,0.36601,1.02574,1.91324,0.90106,6.3771e-05,2.1257e-05,6.3771e-05,2.1257e-05,6.3771e-05,2.1257e-05,6.3771e-05,2.1257e-05
35,1478.03,1.00619,4.21662,0.94457,0.35423,0.49801,0.48077,0.36376,1.0264,1.89717,0.90037,5.5158e-05,1.8386e-05,5.5158e-05,1.8386e-05,5.5158e-05,1.8386e-05,5.5158e-05,1.8386e-05
36,1519.45,0.9839,4.14856,0.94815,0.34799,0.51631,0.48721,0.36925,1.02099,1.88317,0.90023,4.6545e-05,1.5515e-05,4.6545e-05,1.5515e-05,4.6545e-05,1.5515e-05,4.6545e-05,1.5515e-05
37,1560.28,0.98845,4.17998,0.9476,0.36815,0.51733,0.48412,0.36453,1.02583,1.89115,0.90121,3.7932e-05,1.2644e-05,3.7932e-05,1.2644e-05,3.7932e-05,1.2644e-05,3.7932e-05,1.2644e-05
38,1600.5,0.97681,4.11133,0.94052,0.36112,0.51461,0.49388,0.37297,1.02461,1.87236,0.90159,2.9319e-05,9.773e-06,2.9319e-05,9.773e-06,2.9319e-05,9.773e-06,2.9319e-05,9.773e-06
39,1640.92,0.98611,4.1669,0.9433,0.33401,0.53024,0.49101,0.37275,1.02127,1.87175,0.90097,2.0706e-05,6.902e-06,2.0706e-05,6.902e-06,2.0706e-05,6.902e-06,2.0706e-05,6.902e-06
40,1681.35,0.96619,4.13334,0.93895,0.33458,0.54745,0.49994,0.37774,1.01792,1.86131,0.90025,1.2093e-05,4.031e-06,1.2093e-05,4.031e-06,1.2093e-05,4.031e-06,1.2093e-05,4.031e-06
